"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"36","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1781","19","90","55","466","104","23585","485"
"34","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2721","13","137","45","475","87","35775","488"
"37","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2501","9","126","70","482","126","33125","491"
"39","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1401","7","71","61","477","125","18550","484"
"43","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1261","8","64","78","470","138","16695","478"
"46","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1161","8","59","64","478","128","15370","486"
"45","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1501","13","76","111","479","216","19875","492"
"41","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1641","12","83","71","473","120","21730","485"
"38","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2281","12","115","47","481","87","30210","493"
"42","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1921","12","97","49","477","87","25440","489"
"40","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2221","7","112","46","482","81","29415","489"
"44","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2861","9","144","43","481","86","37895","490"
"47","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2141","9","108","68","488","149","28355","497"
