"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"219","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","10","22","46","490","87","7927.5","500"
"220","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","17","21","84","483","170","7538.75","500"
"221","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","4","21","63","496","123","7540","500"
"222","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","8","21","37","492","85","7519","500"
"223","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","441","13","23","38","487","87","7963.25","500"
"225","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","7","21","68","493","118","7554","500"
"224","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","9","21","51","491","103","7543","500"
"226","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","12","21","46","488","87","7492.25","500"
"227","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","361","9","19","102","491","182","6768.75","500"
"228","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","441","9","23","44","490","80","8319.25","499"
"229","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","441","10","23","49","490","97","8345.5","500"
"230","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","15","21","61","485","132","7503.5","500"
"231","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","13","20","90","487","166","7132.75","500"
"232","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","8","22","38","492","84","7924.25","500"
"233","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","8","21","64","492","125","7538.75","500"
"236","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","18","20","64","482","115","7126.75","500"
"234","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","441","11","23","48","489","82","8270","500"
"235","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","12","22","57","488","132","7933","500"
"237","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","16","21","52","484","94","7540.25","500"
"238","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","9","20","114","491","224","7109","500"
"239","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","7","21","40","493","103","7519.75","500"
"240","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","12","22","37","488","77","7537.5","500"
"241","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","7","21","47","493","73","7556.25","500"
"242","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","14","22","54","486","89","7894.5","500"
"243","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","11","21","48","489","90","7527.5","500"
"244","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","12","21","114","488","214","7517","500"
"246","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","11","22","45","489","84","7884.75","500"
"245","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","8","21","38","492","89","7562.75","500"
"250","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","8","20","48","492","110","7141","500"
"248","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","10","20","93","490","166","7121","500"
"251","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","381","12","20","39","488","81","5431","500"
"247","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","9","21","67","491","140","7540.25","500"
"249","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","12","22","40","488","79","7852","500"
