"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"213","29","500","true","true","53","3","14","lockdown_student","18","1821","10","91","323","20442.5","333"
"220","29","500","true","true","53","3","14","lockdown_student","18","841","7","42","304","7601","311"
"215","29","500","true","true","53","3","14","lockdown_student","18","2021","15","101","325","24233.5","340"
"223","29","500","true","true","53","3","14","lockdown_student","18","981","4","49","330","8752.5","334"
"217","29","500","true","true","53","3","14","lockdown_student","18","1721","5","86","323","14931.5","328"
"221","29","500","true","true","53","3","14","lockdown_student","18","1181","10","59","334","11911.5","344"
"222","29","500","true","true","53","3","14","lockdown_student","18","1021","6","51","316","10503","322"
"224","29","500","true","true","53","3","14","lockdown_student","18","1301","11","65","284","11850.5","295"
"225","29","500","true","true","53","3","14","lockdown_student","18","1281","6","64","360","12279.5","366"
"226","29","500","true","true","53","3","14","lockdown_student","18","1121","11","56","363","11306","374"
"229","29","500","true","true","53","3","14","lockdown_student","18","1101","7","55","289","8829.5","296"
"228","29","500","true","true","53","3","14","lockdown_student","18","1361","4","68","308","13236","312"
"231","29","500","true","true","53","3","14","lockdown_student","18","1161","13","58","278","10205","291"
"232","29","500","true","true","53","3","14","lockdown_student","18","1021","10","51","292","9110.5","302"
"233","29","500","true","true","53","3","14","lockdown_student","18","1221","8","61","349","14058.5","357"
"227","29","500","true","true","53","3","14","lockdown_student","18","2001","5","100","294","20130","299"
"230","29","500","true","true","53","3","14","lockdown_student","18","1801","8","90","336","20826.5","344"
"237","29","500","true","true","53","3","14","lockdown_student","18","1001","3","50","266","8585","269"
"236","29","500","true","true","53","3","14","lockdown_student","18","1241","4","62","314","12062.5","318"
"235","29","500","true","true","53","3","14","lockdown_student","18","1341","8","67","294","13060.5","302"
"238","29","500","true","true","53","3","14","lockdown_student","18","1181","7","59","314","11142.5","321"
"234","29","500","true","true","53","3","14","lockdown_student","18","1561","9","78","354","18918.5","363"
"245","29","500","true","true","53","3","14","lockdown_student","18","441","1","22","14","1597","15"
"239","29","500","true","true","53","3","14","lockdown_student","18","1101","10","55","299","10616","309"
"241","29","500","true","true","53","3","14","lockdown_student","18","1261","9","63","304","10834.5","313"
"240","29","500","true","true","53","3","14","lockdown_student","18","1321","5","66","284","12635.5","289"
"243","29","500","true","true","53","3","14","lockdown_student","18","1181","9","59","309","11455.5","318"
"246","29","500","true","true","53","3","14","lockdown_student","18","1041","9","52","324","10562.5","333"
"244","29","500","true","true","53","3","14","lockdown_student","18","1441","7","72","256","13035.5","263"
"247","29","500","true","true","53","3","14","lockdown_student","18","1221","11","61","282","10917","293"
"242","29","500","true","true","53","3","14","lockdown_student","18","1921","3","96","348","23322.5","351"
"249","29","500","true","true","53","3","14","lockdown_student","18","1241","8","62","326","12516","334"
"251","29","500","true","true","53","3","14","lockdown_student","18","1181","8","59","320","11221.5","328"
"248","29","500","true","true","53","3","14","lockdown_student","18","1221","4","61","292","10062.5","296"
"250","29","500","true","true","53","3","14","lockdown_student","18","1321","5","66","329","15069.5","334"
"253","29","500","true","true","53","3","14","lockdown_student","18","981","8","49","279","8628.5","287"
"252","29","500","true","true","53","3","14","lockdown_student","18","1501","2","75","325","14858","327"
"254","29","500","true","true","53","3","14","lockdown_student","18","1441","3","72","297","14672","300"
"256","29","500","true","true","53","3","14","lockdown_student","18","1001","10","50","318","9132","328"
"259","29","500","true","true","53","3","14","lockdown_student","18","1061","10","53","332","10283.5","342"
"260","29","500","true","true","53","3","14","lockdown_student","18","1181","5","59","246","9989","251"
"258","29","500","true","true","53","3","14","lockdown_student","18","1381","10","69","290","13487","300"
"255","29","500","true","true","53","3","14","lockdown_student","18","1841","12","92","362","21938.5","374"
"265","29","500","true","true","53","3","14","lockdown_student","18","1061","5","53","309","10675","314"
"263","29","500","true","true","53","3","14","lockdown_student","18","1221","9","61","235","9922.5","244"
"261","29","500","true","true","53","3","14","lockdown_student","18","1441","4","72","331","13548","335"
"262","29","500","true","true","53","3","14","lockdown_student","18","1221","6","61","312","10991.5","318"
"264","29","500","true","true","53","3","14","lockdown_student","18","1341","8","67","359","14156","367"
"257","29","500","true","true","53","3","14","lockdown_student","18","2641","10","132","293","25559.5","303"
"266","29","500","true","true","53","3","14","lockdown_student","18","1381","10","69","331","15573.5","341"
"271","29","500","true","true","53","3","14","lockdown_student","18","821","7","41","326","8065","333"
"268","29","500","true","true","53","3","14","lockdown_student","18","1361","5","68","319","14577.5","324"
"269","29","500","true","true","53","3","14","lockdown_student","18","1461","5","73","244","11687.5","249"
"272","29","500","true","true","53","3","14","lockdown_student","18","1181","6","59","301","10991","307"
"276","29","500","true","true","53","3","14","lockdown_student","18","821","5","41","297","7230","302"
"273","29","500","true","true","53","3","14","lockdown_student","18","1081","12","54","357","11179.5","369"
"275","29","500","true","true","53","3","14","lockdown_student","18","1041","7","52","269","9180","276"
"267","29","500","true","true","53","3","14","lockdown_student","18","2261","5","113","302","25257","307"
"270","29","500","true","true","53","3","14","lockdown_student","18","2021","13","101","340","24653","353"
"278","29","500","true","true","53","3","14","lockdown_student","18","1201","8","60","254","9338","262"
"277","29","500","true","true","53","3","14","lockdown_student","18","1261","6","63","280","11682","286"
"281","29","500","true","true","53","3","14","lockdown_student","18","1061","8","53","206","8066","214"
"279","29","500","true","true","53","3","14","lockdown_student","18","1481","7","74","337","17506","344"
"282","29","500","true","true","53","3","14","lockdown_student","18","1221","5","61","237","10429","242"
"284","29","500","true","true","53","3","14","lockdown_student","18","1041","10","52","361","10989.5","371"
"280","29","500","true","true","53","3","14","lockdown_student","18","1261","8","63","347","12994","355"
"283","29","500","true","true","53","3","14","lockdown_student","18","1381","5","69","293","14047.5","298"
"274","29","500","true","true","53","3","14","lockdown_student","18","2681","3","134","361","35245.5","364"
"286","29","500","true","true","53","3","14","lockdown_student","18","1061","8","53","279","9196","287"
"285","29","500","true","true","53","3","14","lockdown_student","18","1141","9","57","238","8630","247"
"287","29","500","true","true","53","3","14","lockdown_student","18","961","6","48","284","8655.5","290"
"289","29","500","true","true","53","3","14","lockdown_student","18","1061","8","53","351","10975","359"
"288","29","500","true","true","53","3","14","lockdown_student","18","1181","5","59","310","10028.5","315"
"292","29","500","true","true","53","3","14","lockdown_student","18","1081","7","54","300","9812","307"
"291","29","500","true","true","53","3","14","lockdown_student","18","1161","3","58","273","10998.5","276"
"293","29","500","true","true","53","3","14","lockdown_student","18","1201","9","60","343","12451","352"
"294","29","500","true","true","53","3","14","lockdown_student","18","1181","8","59","320","10829","328"
"290","29","500","true","true","53","3","14","lockdown_student","18","1701","4","85","344","19474.5","348"
"295","29","500","true","true","53","3","14","lockdown_student","18","1341","4","67","284","12370","288"
"297","29","500","true","true","53","3","14","lockdown_student","18","1241","10","62","311","12585","321"
"300","29","500","true","true","53","3","14","lockdown_student","18","901","8","45","341","8299","349"
"299","29","500","true","true","53","3","14","lockdown_student","18","1161","8","58","328","12248.5","336"
"296","29","500","true","true","53","3","14","lockdown_student","18","1861","3","93","311","19850","314"
"301","29","500","true","true","53","3","14","none","18","1321","8","66","294","8339.25","302"
"298","29","500","true","true","53","3","14","lockdown_student","18","1521","4","76","284","14389.5","288"
"302","29","500","true","true","53","3","14","none","18","1221","5","61","320","9579.5","325"
"306","29","500","true","true","53","3","14","none","18","881","9","44","304","6799.25","313"
